timestamp_ms,rpm,map_kpa,tps_pct,ect_celsius,injector_pw_us,iacv_duty_pct,vtec_active
0,1400.0,35.0,0.0,-10.0,0,0.0,0
100,1394.0,35.0,0.0,-9.1,0,0.0,0
200,1388.0,35.0,0.0,-8.1,0,0.0,0
300,1382.0,35.0,0.0,-7.2,0,0.0,0
400,1376.0,35.0,0.0,-6.2,0,0.0,0
500,1370.0,35.0,0.0,-5.2,0,0.0,0
600,1364.0,35.0,0.0,-4.3,0,0.0,0
700,1358.0,35.0,0.0,-3.3,0,0.0,0
800,1352.0,35.0,0.0,-2.4,0,0.0,0
900,1346.0,35.0,0.0,-1.5,0,0.0,0
1000,1340.0,35.0,0.0,-0.5,103152,78.7,0
1100,1334.0,35.0,0.0,0.4,103152,78.7,0
1200,1328.0,35.0,0.0,1.4,103152,78.7,0
1300,1322.0,35.0,0.0,2.3,103152,78.7,0
1400,1316.0,35.0,0.0,3.3,103152,78.7,0
1500,1310.0,35.0,0.0,4.2,103152,78.7,0
1600,1304.0,35.0,0.0,5.2,103152,78.7,0
1700,1298.0,35.0,0.0,6.2,103152,78.7,0
1800,1292.0,35.0,0.0,7.1,103152,78.7,0
1900,1286.0,35.0,0.0,8.1,103152,78.7,0
2000,1280.0,35.0,0.0,9.0,103152,78.7,0
2100,1274.0,35.0,0.0,9.9,103152,78.7,0
2200,1268.0,35.0,0.0,10.9,103152,78.7,0
2300,1262.0,35.0,0.0,11.9,103152,78.7,0
2400,1256.0,35.0,0.0,12.8,103152,78.7,0
2500,1250.0,35.0,0.0,13.8,103152,78.7,0
2600,1244.0,35.0,0.0,14.7,103152,78.7,0
2700,1238.0,35.0,0.0,15.7,103152,78.7,0
2800,1232.0,35.0,0.0,16.6,103152,78.7,0
2900,1226.0,35.0,0.0,17.5,103152,78.7,0
3000,1220.0,35.0,0.0,18.5,103152,78.7,0
3100,1214.0,35.0,0.0,19.4,103152,78.7,0
3200,1208.0,35.0,0.0,20.4,103152,78.7,0
3300,1202.0,35.0,0.0,21.4,103152,78.7,0
3400,1196.0,35.0,0.0,22.3,103152,78.7,0
3500,1190.0,35.0,0.0,23.2,103152,78.7,0
3600,1184.0,35.0,0.0,24.2,103152,78.7,0
3700,1178.0,35.0,0.0,25.1,103152,78.7,0
3800,1172.0,35.0,0.0,26.1,103152,78.7,0
3900,1166.0,35.0,0.0,27.1,103152,78.7,0
4000,1160.0,35.0,0.0,28.0,103152,78.7,0
4100,1154.0,35.0,0.0,28.9,103152,78.7,0
4200,1148.0,35.0,0.0,29.9,103152,78.7,0
4300,1142.0,35.0,0.0,30.9,103152,78.7,0
4400,1136.0,35.0,0.0,31.8,103152,78.7,0
4500,1130.0,35.0,0.0,32.8,103152,78.7,0
4600,1124.0,35.0,0.0,33.7,103152,78.7,0
4700,1118.0,35.0,0.0,34.6,103152,78.7,0
4800,1112.0,35.0,0.0,35.6,103152,78.7,0
4900,1106.0,35.0,0.0,36.5,103152,78.7,0
5000,1100.0,35.0,0.0,37.5,103152,78.7,0
5100,1094.0,35.0,0.0,38.5,103152,78.7,0
5200,1088.0,35.0,0.0,39.4,103152,78.7,0
5300,1082.0,35.0,0.0,40.4,103152,78.7,0
5400,1076.0,35.0,0.0,41.3,103152,78.7,0
5500,1070.0,35.0,0.0,42.3,103152,78.7,0
5600,1064.0,35.0,0.0,43.2,103152,78.7,0
5700,1058.0,35.0,0.0,44.1,103152,78.7,0
5800,1052.0,35.0,0.0,45.1,103152,78.7,0
5900,1046.0,35.0,0.0,46.0,103152,78.7,0
6000,1040.0,35.0,0.0,47.0,103152,78.7,0
6100,1034.0,35.0,0.0,47.9,103152,78.7,0
6200,1028.0,35.0,0.0,48.9,103152,78.7,0
6300,1022.0,35.0,0.0,49.9,103152,78.7,0
6400,1016.0,35.0,0.0,50.8,103152,78.7,0
6500,1010.0,35.0,0.0,51.8,103152,78.7,0
6600,1004.0,35.0,0.0,52.7,103152,78.7,0
6700,998.0,35.0,0.0,53.7,103152,78.7,0
6800,992.0,35.0,0.0,54.6,103152,78.7,0
6900,986.0,35.0,0.0,55.5,103152,78.7,0
7000,980.0,35.0,0.0,56.5,103152,78.7,0
