timestamp_ms,rpm,map_kpa,tps_pct,ect_celsius,injector_pw_us,iacv_duty_pct,vtec_active
0,2000.0,30.0,0.0,85.0,0,0.0,0
50,2062.0,30.7,10.0,85.0,0,0.0,0
100,2124.0,31.4,20.0,85.0,0,0.0,0
150,2186.0,32.1,30.0,85.0,0,0.0,0
200,2248.0,32.8,40.0,85.0,0,0.0,0
250,2310.0,33.5,50.0,85.0,0,0.0,0
300,2372.0,34.2,60.0,85.0,0,0.0,0
350,2434.0,34.9,70.0,85.0,0,0.0,0
400,2496.0,35.6,80.0,85.0,0,0.0,0
450,2558.0,36.3,90.0,85.0,0,0.0,0
500,2620.0,37.0,100.0,85.0,0,0.0,0
550,2682.0,37.7,100.0,85.0,0,0.0,0
600,2744.0,38.4,100.0,85.0,0,0.0,0
650,2806.0,39.1,100.0,85.0,0,0.0,0
700,2868.0,39.8,100.0,85.0,61514,47.2,0
750,2930.0,40.5,100.0,85.0,61514,46.9,0
800,2992.0,41.2,100.0,85.0,61514,46.9,0
850,3054.0,41.9,100.0,85.0,61514,46.9,0
900,3116.0,42.6,100.0,85.0,61514,46.9,0
950,3178.0,43.3,100.0,85.0,61514,46.9,0
1000,3240.0,44.0,100.0,85.0,61514,46.9,0
1050,3302.0,44.7,100.0,85.0,61514,46.9,0
1100,3364.0,45.4,100.0,85.0,61514,46.9,0
1150,3426.0,46.1,100.0,85.0,61514,46.9,0
1200,3488.0,46.8,100.0,85.0,61514,46.9,0
1250,3550.0,47.5,100.0,85.0,61514,46.9,0
1300,3612.0,48.2,100.0,85.0,61514,46.9,0
1350,3674.0,48.9,100.0,85.0,61514,46.9,0
1400,3736.0,49.6,100.0,85.0,61514,46.9,0
1450,3798.0,50.3,100.0,85.0,61514,46.9,0
1500,3860.0,51.0,100.0,85.0,61514,46.9,0
1550,3922.0,51.7,100.0,85.0,61514,46.9,0
1600,3984.0,52.4,100.0,85.0,61514,46.9,0
1650,4046.0,53.1,100.0,85.0,61514,46.9,0
1700,4108.0,53.8,100.0,85.0,61514,46.9,0
1750,4170.0,54.5,100.0,85.0,61514,46.9,0
1800,4232.0,55.2,100.0,85.0,61514,46.9,0
1850,4294.0,55.9,100.0,85.0,61514,46.9,0
1900,4356.0,56.6,100.0,85.0,61514,46.9,0
1950,4418.0,57.3,100.0,85.0,61514,46.9,0
2000,4480.0,58.0,100.0,85.0,61514,46.9,0
2050,4542.0,58.7,100.0,85.0,61514,46.9,0
2100,4604.0,59.4,100.0,85.0,61514,46.9,0
2150,4666.0,60.1,100.0,85.0,61514,46.9,0
2200,4728.0,60.8,100.0,85.0,61514,46.9,0
2250,4790.0,61.5,100.0,85.0,61514,46.9,0
2300,4852.0,62.2,100.0,85.0,61514,46.9,0
2350,4914.0,62.9,100.0,85.0,61514,46.9,0
2400,4976.0,63.6,100.0,85.0,61514,46.9,0
2450,5038.0,64.3,100.0,85.0,61514,46.9,0
2500,5100.0,65.0,100.0,85.0,61514,46.9,0
2550,5162.0,65.7,100.0,85.0,61514,46.9,0
2600,5224.0,66.4,100.0,85.0,61514,46.9,0
2650,5286.0,67.1,100.0,85.0,61514,46.9,0
2700,5348.0,67.8,100.0,85.0,61514,46.9,0
2750,5410.0,68.5,100.0,85.0,61514,46.9,0
2800,5472.0,69.2,100.0,85.0,61514,46.9,0
2850,5534.0,69.9,100.0,85.0,61514,46.9,0
2900,5596.0,70.6,100.0,85.0,61514,46.9,0
2950,5658.0,71.3,100.0,85.0,61514,46.9,0
3000,5720.0,72.0,100.0,85.0,61514,46.9,0
3050,5782.0,72.7,100.0,85.0,61514,46.9,0
3100,5844.0,73.4,100.0,85.0,61514,46.9,0
3150,5906.0,74.1,100.0,85.0,61514,46.9,0
3200,5968.0,74.8,100.0,85.0,61514,46.9,0
3250,6030.0,75.5,100.0,85.0,61514,46.9,0
3300,6092.0,76.2,100.0,85.0,61514,46.9,0
3350,6154.0,76.9,100.0,85.0,61514,46.9,0
3400,6216.0,77.6,100.0,85.0,61514,46.9,0
3450,6278.0,78.3,100.0,85.0,61514,46.9,0
3500,6340.0,79.0,100.0,85.0,61514,46.9,0
3550,6402.0,79.7,100.0,85.0,61514,46.9,0
3600,6464.0,80.4,100.0,85.0,61514,46.9,0
3650,6526.0,81.1,100.0,85.0,61514,46.9,0
3700,6588.0,81.8,100.0,85.0,61514,46.9,0
3750,6650.0,82.5,100.0,85.0,61514,46.9,0
3800,6712.0,83.2,100.0,85.0,61514,46.9,0
3850,6774.0,83.9,100.0,85.0,61514,46.9,0
3900,6836.0,84.6,100.0,85.0,61514,46.9,0
3950,6898.0,85.3,100.0,85.0,61514,46.9,0
4000,6960.0,86.0,100.0,85.0,61514,46.9,0
4050,7022.0,86.7,100.0,85.0,61514,46.9,0
4100,7084.0,87.4,100.0,85.0,61514,46.9,0
4150,7146.0,88.1,100.0,85.0,61514,46.9,0
4200,7208.0,88.8,100.0,85.0,61514,46.9,0
4250,7270.0,89.5,100.0,85.0,61514,46.9,0
4300,7332.0,90.2,100.0,85.0,61514,46.9,0
4350,7394.0,90.9,100.0,85.0,61514,46.9,0
4400,7456.0,91.6,100.0,85.0,61514,46.9,0
4450,7518.0,92.3,100.0,85.0,61514,46.9,0
4500,7580.0,93.0,100.0,85.0,61514,46.9,0
4550,7642.0,93.7,100.0,85.0,61514,46.9,0
4600,7704.0,94.4,100.0,85.0,61514,46.9,0
4650,7766.0,95.1,100.0,85.0,61514,46.9,0
4700,7828.0,95.8,100.0,85.0,61514,46.9,0
4750,7890.0,96.5,100.0,85.0,61514,46.9,0
4800,7952.0,97.2,100.0,85.0,61514,46.9,0
4850,8014.0,97.9,100.0,85.0,61514,46.9,0
4900,8076.0,98.6,100.0,85.0,61514,46.9,0
4950,8138.0,99.3,100.0,85.0,61514,46.9,0
5000,8200.0,100.0,100.0,85.0,61514,46.9,0
